ISLAND,TRANSECTID,OCC_SITEID,REA_SITE,SITE_DEPTH_M,LATITUDE,LONGITUDE,REGION,STATUS
MAU,MAU-W,OCC-MAU-024,,30.8,20.01791,145.20719,CNMI,Inactive
MAU,,OCC-MAU-025,,0.3,20.02908,145.23197,CNMI,Inactive
MAU,,OCC-MAU-026,,17.1,20.02332,145.2075,CNMI,Inactive
MAU,,OCC-MAU-027,MAU-04,9.7,20.0144,145.23418,CNMI,Inactive
MAU,MAU-SW,OCC-MAU-028,MAU-11,8.5,20.01348,145.20873,CNMI,Inactive
MID,MID-S,OCC-MID-001,,14.6,28.19633,-177.37494,NWHI,Inactive
MID,MID-NW,OCC-MID-002,,29.3,28.23193,-177.42968,NWHI,Inactive
MID,MID-NW,OCC-MID-003,,1.8,28.21826,-177.42181,NWHI,Inactive
MID,MID-NW,OCC-MID-004,,9.8,28.21783,-177.42496,NWHI,Inactive
MID,MID-NW,OCC-MID-005,,18.9,28.21867,-177.42702,NWHI,Inactive
MID,,OCC-MID-006,,1.5,28.19365,-177.40179,NWHI,Inactive
MID,,OCC-MID-007,,1.2,28.27117,-177.38602,NWHI,Inactive
MID,,OCC-MID-008,,0.9,28.27762,-177.36787,NWHI,Inactive
MID,,OCC-MID-009,,1.2,28.24449,-177.32343,NWHI,Inactive
MID,,OCC-MID-010,,0.2,28.218,-177.3443,NWHI,Inactive
MID,,OCC-MID-011,,9.3,28.218,-177.3443,NWHI,Inactive
MID,MID-NW,OCC-MID-012,,24.1,28.23015,-177.42612,NWHI,Inactive
MID,,OCC-MID-013,,18.9,28.19633226,-177.3749381,NWHI,Inactive
MOI,MOI-S,OCC-MOI-001,,10.7,20.63027,-156.49716,MHI,Inactive
MOI,MOI-S,OCC-MOI-002,,18.6,20.6303,-156.49718,MHI,Inactive
MOL,,OCC-MOL-001,MOL-24,14.6,21.20709,-156.9847,MHI,Active
MOL,MOL-N,OCC-MOL-002,,24.7,21.17867,-156.76055,MHI,Active
MOL,MOL-N,OCC-MOL-003,MOL-23,14.6,21.17693,-156.76049,MHI,Active
MOL,MOL-N,OCC-MOL-004,,4.9,21.17579,-156.76071,MHI,Active
MOL,,OCC-MOL-005,MOL-20,13.1,21.03569,-156.89041,MHI,Active
MOL,,OCC-MOL-006,MOL-21,16.2,21.08295,-157.06422,MHI,Active
MOL,MOL-W,OCC-MOL-007,,25.3,21.13468,-157.30589,MHI,Active
MOL,MOL-W,OCC-MOL-008,MOL-22,15.8,21.13402,-157.30025,MHI,Active
MOL,,OCC-MOL-009,,4.9,21.13317,-157.29747,MHI,Active
MOL,,OCC-MOL-011,,19.5,21.08094,-157.26696,MHI,Inactive
MOL,,OCC-MOL-012,,9.8,21.20308,-157.2524,MHI,Inactive
NEC,,OCC-NEC-001,,17.1,23.57152,-164.69775,NWHI,Inactive
NEC,,OCC-NEC-002,,0.3,23.57152,-164.69775,NWHI,Inactive
NEC,,OCC-NEC-003,,24.9,23.56792,-164.71215,NWHI,Inactive
NII,,OCC-NII-001,NII-10,15.8,21.9414,-160.07005,MHI,Active
NII,NII-W,OCC-NII-002,,26.2,21.90175,-160.23764,MHI,Active
NII,NII-W,OCC-NII-003,NII-11,15.8,21.89751,-160.23392,MHI,Active
NII,NII-W,OCC-NII-004,,4.9,21.89307,-160.23002,MHI,Inactive
NII,,OCC-NII-005,,12.5,21.95128,-160.06176,MHI,Inactive
NII,,OCC-NII-006,,11.6,21.87551,-160.12165,MHI,Inactive
OAH,OAH-N,OCC-OAH-001,,24.7,21.59243,-158.17472,MHI,Active
OAH,OAH-N,OCC-OAH-002,OAH-20,14,21.59095,-158.17467,MHI,Inactive
OAH,,OCC-OAH-003,,5.5,21.58088,-158.16856,MHI,Inactive
OAH,OAH-E,OCC-OAH-004,,24.1,21.48306,-157.78075,MHI,Active
OAH,OAH-E,OCC-OAH-005,OAH-22,12.5,21.47979,-157.783,MHI,Active
OAH,OAH-E,OCC-OAH-006,,5.5,21.47358,-157.78802,MHI,Active
OAH,OAH-E,OCC-OAH-007,OAH-19,2.1,21.45862,-157.79865,MHI,Active
OAH,,OCC-OAH-008,OAH-24,14.6,21.26184,-157.76547,MHI,Inactive
OAH,OAH-S,OCC-OAH-009,,26.5,21.28485,-157.86787,MHI,Active
OAH,OAH-S,OCC-OAH-010,OAH-23,12.2,21.28842,-157.86533,MHI,Active
OAH,OAH-S,OCC-OAH-011,,4.9,21.28994,-157.86376,MHI,Active
OAH,,OCC-OAH-012,OAH-25,14.6,21.53408,-158.23439,MHI,Active
OAH,OAH-SW,OCC-OAH-013,,26.8,21.30573,-158.12658,MHI,Inactive
OAH,OAH-SW,OCC-OAH-014,OAH-21,15.2,21.30566,-158.12623,MHI,Inactive
OAH,OAH-SW,OCC-OAH-015,,5.2,21.30949,-158.11841,MHI,Inactive
OAH,,OCC-OAH-016,,10.1,21.54276805,-158.2403804,MHI,Inactive
OAH,OAH-W,OCC-OAH-018,,19.3,21.53199,-158.23437,MHI,Inactive
OAH,,OCC-OAH-019,,14,21.53193,-158.23304,MHI,Inactive
OAH,,OCC-OAH-020,,10.1,21.54242,-158.24008,MHI,Inactive
OAH,,OCC-OAH-021,,9.4,21.54238,-158.24011,MHI,Inactive
OAH,,OCC-OAH-022,,3.7,21.43256,-157.78922,MHI,Inactive
OAH,,OCC-OAH-023,,17.5,21.35468,-158.13686,MHI,Inactive
OAH,,OCC-OAH-024,,13.8,21.44143,-158.198,MHI,Inactive
OAH,,OCC-OAH-025,,49.5,21.40412,-158.20095,MHI,Inactive
OAH,,OCC-OAH-026,,15.9,21.56837,-158.27493,MHI,Inactive
OAH,,OCC-OAH-027,,7,21.47083,-157.82638,MHI,Inactive
OAH,,OCC-OAH-028,,6.4,21.43647,-157.79142,MHI,Inactive
OAH,,OCC-OAH-029,,7.6,21.61408,-157.91017,MHI,Inactive
OAH,,OCC-OAH-030,,7.3,21.4601,-158.21747,MHI,Inactive
OAH,OAH-N,OCC-OAH-031,,14.6,21.58889,-158.17517,MHI,Inactive
OAH,OAH-N,OCC-OAH-032,,4.9,21.58886,-158.17535,MHI,Inactive
OAH,,OCC-OAH-033,OAH-01,13.1,21.3118,-158.1273,MHI,Inactive
OAH,OAH-W,OCC-OAH-034,OAH-04,13.1,21.5337,-158.2333,MHI,Inactive
OAH,,OCC-OAH-035,OAH-10,14.6,21.6121,-158.1113,MHI,Inactive
OAH,,OCC-OAH-036,OAH-471,13.1,21.50841,-157.80516,MHI,Inactive
OAH,,OCC-OAH-037,,10.1,21.53192681,-158.23304,MHI,Inactive
OFU,OFU-NW,OCC-OFU-001,,24.7,-14.15688,-169.67421,AMSM,Active
OFU,OFU-NW,OCC-OFU-002,OFU-09,14.6,-14.15754,-169.67419,AMSM,Active
OFU,OFU-NW,OCC-OFU-003,,6.1,-14.15876,-169.67412,AMSM,Active
OFU,,OCC-OFU-004,OFU-01,13.4,-14.16463,-169.65568,AMSM,Active
OFU,OFU-N,OCC-OFU-005,OLO-05,14.3,-14.16373,-169.62435,AMSM,Active
OFU,,OCC-OFU-006,OLO-01,14.6,-14.16844,-169.60788,AMSM,Active
OFU,OFU-SE,OCC-OFU-007,OLO-04,14.3,-14.18128,-169.62683,AMSM,Active
OFU,OFU-S,OCC-OFU-008,,24.1,-14.18075,-169.65201,AMSM,Active
OFU,OFU-S,OCC-OFU-009,OFU-54,14.6,-14.18054,-169.65208,AMSM,Active
OFU,OFU-S,OCC-OFU-010,,5.8,-14.18025,-169.65221,AMSM,Active
OFU,OFU-S,OCC-OFU-011,,0.9,-14.17771,-169.65262,AMSM,Active
OFU,OFU-SW,OCC-OFU-012,OFU-03,14.6,-14.1865,-169.6602,AMSM,Active
OFU,OFU-W,OCC-OFU-013,,24.4,-14.17543,-169.68344,AMSM,Active
OFU,OFU-W,OCC-OFU-014,OFU-06,13.7,-14.17421,-169.68195,AMSM,Active
OFU,OFU-W,OCC-OFU-015,,0.6,-14.17269,-169.68012,AMSM,Inactive
OFU,OFU-W,OCC-OFU-016,,4.3,-14.17369,-169.68099,AMSM,Inactive
OFU,OFU-N,OCC-OFU-017,,5.8,-14.16395,-169.6249,AMSM,Inactive
OFU,OFU-S,OCC-OFU-018,,29.6,-14.18073,-169.65176,AMSM,Inactive
OFU,OFU-SE,OCC-OFU-019,,11.6,-14.18175,-169.62658,AMSM,Inactive
OFU,OFU-W,OCC-OFU-020,,8.2,-14.1737,-169.68165,AMSM,Inactive
OFU,OFU-S,OCC-OFU-021,,18.9,-14.18065,-169.652,AMSM,Inactive
OFU,,OCC-OFU-022,,0.2,-14.18065,-169.652,AMSM,Inactive
OFU,OFU-SW,OCC-OFU-023,,1.5,-14.1829,-169.65947,AMSM,Inactive
OFU,,OCC-OFU-024,OFU-02,17.1,-14.1846,-169.67602,AMSM,Inactive
OFU,,OCC-OFU-025,OFU-04,14.9,-14.17737,-169.64957,AMSM,Inactive
PAG,PAG-N,OCC-PAG-001,,25.6,18.16913,145.79535,CNMI,Active
PAG,PAG-N,OCC-PAG-002,PAG-21,14.6,18.16788,145.79494,CNMI,Active
PAG,PAG-N,OCC-PAG-003,,7.3,18.16754,145.79482,CNMI,Active
PAG,,OCC-PAG-004,,0.6,18.10294,145.76781,CNMI,Active
PAG,PAG-E,OCC-PAG-005,,24.7,18.09539,145.76544,CNMI,Active
PAG,PAG-E,OCC-PAG-006,PAG-13,15.5,18.09609,145.76487,CNMI,Active
PAG,PAG-E,OCC-PAG-007,,6.1,18.09643,145.76412,CNMI,Active
PAG,PAG-S,OCC-PAG-008,,26.2,18.04462,145.70502,CNMI,Active
PAG,PAG-S,OCC-PAG-009,PAG-20,15.5,18.04561,145.70621,CNMI,Active
PAG,PAG-S,OCC-PAG-010,,5.2,18.04588,145.70751,CNMI,Active
PAG,,OCC-PAG-011,PAG-23,15.8,18.09755,145.751,CNMI,Active
PAG,PAG-W,OCC-PAG-012,,24.4,18.1205,145.75339,CNMI,Active
PAG,PAG-W,OCC-PAG-013,PAG-22,17.4,18.12019,145.75458,CNMI,Active
PAG,PAG-W,OCC-PAG-014,,5.8,18.12099,145.75678,CNMI,Active
PAG,PAG-W,OCC-PAG-015,,1.8,18.12264,145.75743,CNMI,Active
PAG,PAG-W,OCC-PAG-016,,13.7,18.12009,145.75468,CNMI,Inactive
PAG,,OCC-PAG-017,,18.9,18.04578,145.72202,CNMI,Inactive
PAG,,OCC-PAG-018,,0.3,18.12726,145.75751,CNMI,Inactive
PAG,,OCC-PAG-019,,5.8,18.12726,145.75751,CNMI,Inactive
PAG,,OCC-PAG-020,PAG-01,10.5,18.10722,145.78577,CNMI,Inactive
PAG,,OCC-PAG-021,PAG-03,10.9,18.16832,145.78795,CNMI,Inactive
PAG,,OCC-PAG-022,PAG-05,11.9,18.11945,145.75567,CNMI,Inactive
PAG,,OCC-PAG-023,PAG-09,12.9,18.07068,145.71363,CNMI,Inactive
PAL,PAL-N,OCC-PAL-001,,29.6,5.89753,-162.07834,PRIA,Active
PAL,PAL-N,OCC-PAL-002,,25.6,5.89748,-162.07832,PRIA,Active
PAL,PAL-N,OCC-PAL-003,PAL-64,14.6,5.89736,-162.07817,PRIA,Active
PAL,PAL-N,OCC-PAL-004,,7,5.89694,-162.07788,PRIA,Active
PAL,PAL-E,OCC-PAL-005,,25.9,5.87613,-162.00195,PRIA,Active
PAL,PAL-E,OCC-PAL-006,,15.2,5.87565,-162.00354,PRIA,Active
PAL,PAL-SE,OCC-PAL-007,,24.7,5.86356,-162.03067,PRIA,Active
PAL,PAL-SE,OCC-PAL-008,PAL-25,13.4,5.86383,-162.0306,PRIA,Active
PAL,PAL-SE,OCC-PAL-009,,4.9,5.8745,-162.04035,PRIA,Active
PAL,PAL-SE,OCC-PAL-010,,1.5,5.87031,-162.04511,PRIA,Active
PAL,PAL-S,OCC-PAL-011,,24.4,5.86945,-162.07533,PRIA,Active
PAL,PAL-S,OCC-PAL-012,PAL-65,14.3,5.86961,-162.07511,PRIA,Active
PAL,PAL-S,OCC-PAL-013,,4.9,5.87014,-162.07512,PRIA,Active
PAL,PAL-SSW,OCC-PAL-014,PAL-19,13.7,5.8664,-162.10997,PRIA,Active
PAL,PAL-SW,OCC-PAL-015,PAL-26,15.2,5.86408,-162.12689,PRIA,Active
PAL,PAL-W,OCC-PAL-016,,24.7,5.88398,-162.16889,PRIA,Active
PAL,PAL-W,OCC-PAL-017,PAL-11,14.9,5.88323,-162.13318,PRIA,Active
PAL,PAL-W,OCC-PAL-018,,4.6,5.88245,-162.12136,PRIA,Active
PAL,PAL-NW,OCC-PAL-019,PAL-05,13.7,5.8956,-162.13792,PRIA,Inactive
PAL,,OCC-PAL-020,PAL-12,14.6,5.89737,-162.10798,PRIA,Inactive
PAL,PAL-NW,OCC-PAL-021,,0.6,5.89189,-162.12245,PRIA,Active
PAL,,OCC-PAL-022,,3.4,5.88606,-162.08609,PRIA,Active
PAL,,OCC-PAL-027,,30.5,5.86935,-162.07525,PRIA,Inactive
PAL,,OCC-PAL-028,,10.1,5.89713,-162.07829,PRIA,Inactive
PAL,,OCC-PAL-029,,19.2,5.89737,-162.07834,PRIA,Inactive
PAL,PAL-EL,OCC-PAL-030,,4.3,5.88274,-162.06187,PRIA,Inactive
PAL,,OCC-PAL-031,,10.7,5.86973,-162.07515,PRIA,Inactive
PAL,,OCC-PAL-032,,19.5,5.86953,-162.07517,PRIA,Inactive
PAL,,OCC-PAL-033,,0.2,5.87447,-162.04042,PRIA,Inactive
PAL,PAL-E,OCC-PAL-034,,20.7,5.87611,-162.00237,PRIA,Inactive
PAL,PAL-E,OCC-PAL-035,,32.6,5.87637,-162.00206,PRIA,Inactive
PAL,PAL-W,OCC-PAL-036,,19.2,5.88382,-162.16857,PRIA,Inactive
PAL,PAL-W,OCC-PAL-037,,32.9,5.88407,-162.16909,PRIA,Inactive
PAL,PAL-EL,OCC-PAL-038,,25.6,5.88207,-162.06235,PRIA,Inactive
PAL,,OCC-PAL-039,,3.7,5.88365,-162.09205,PRIA,Inactive
PAL,PAL-NE,OCC-PAL-040,,10.1,5.88281,-162.0342,PRIA,Inactive
PAL,PAL-NE,OCC-PAL-041,,10.4,5.88243,-162.033,PRIA,Inactive
PAL,PAL-NE,OCC-PAL-042,,14.6,5.88277,-162.03299,PRIA,Inactive
PAL,PAL-NE,OCC-PAL-043,,19.5,5.88292,-162.03292,PRIA,Inactive
PAL,PAL-SE,OCC-PAL-044,,10.1,5.86445,-162.03178,PRIA,Inactive
PAL,PAL-SE,OCC-PAL-045,,10.1,5.86426,-162.0307,PRIA,Inactive
PAL,PAL-SE,OCC-PAL-046,,18.9,5.86366,-162.03059,PRIA,Inactive
PAL,PAL-SSW,OCC-PAL-047,,19.5,5.86645,-162.11363,PRIA,Inactive
PAL,PAL-SSW,OCC-PAL-048,,12.2,5.86655,-162.11275,PRIA,Inactive
PAL,PAL-SSW,OCC-PAL-049,FR-3,14,5.86648,-162.11362,PRIA,Inactive
PAL,PAL-NW,OCC-PAL-050,,11.3,5.89639,-162.12811,PRIA,Inactive
PAL,PAL-NW,OCC-PAL-051,,10.4,5.89642,-162.12724,PRIA,Inactive
PAL,PAL-NW,OCC-PAL-052,FR-9,14.6,5.89693,-162.12821,PRIA,Inactive
PAL,PAL-NW,OCC-PAL-053,,21,5.89711,-162.12831,PRIA,Inactive
PAL,PAL-SW,OCC-PAL-054,,10.7,5.86671,-162.12723,PRIA,Inactive
PAL,PAL-SW,OCC-PAL-055,,10.4,5.86666,-162.12653,PRIA,Inactive
PAL,PAL-SW,OCC-PAL-056,,20.7,5.86087,-162.12671,PRIA,Inactive
PAL,,OCC-PAL-057,,9.1,5.88463,-162.10289,PRIA,Inactive
PAL,,OCC-PAL-058,,1,5.88463,-162.10289,PRIA,Inactive
PAL,PAL-EL,OCC-PAL-059,,15.8,5.88235,-162.06217,PRIA,Inactive
PAL,,OCC-PAL-060,,0.2,5.88278,-162.06183,PRIA,Inactive
PAL,,OCC-PAL-061,PAL-01,10.7,5.86778,-162.06893,PRIA,Inactive
PAL,,OCC-PAL-062,PAL-17,19.8,5.87545,-162.13919,PRIA,Inactive
PAL,,OCC-PAL-063,PAL-21,13.6,5.89565,-162.0861,PRIA,Inactive
PAL,,OCC-PAL-064,RT-10,3.7,5.88856,-162.12433,PRIA,Inactive
PAL,,OCC-PAL-065,RT-4,5.5,5.88283,-162.12197,PRIA,Inactive
PEN,,OCC-PEN-001,,250,21.00345,-157.7215,MHI,Inactive
PEN,,OCC-PEN-002,,200,21.02095,-157.71997,MHI,Inactive
PEN,,OCC-PEN-003,,150,21.02247,-157.76648,MHI,Inactive
PEN,,OCC-PEN-004,,250,21.059,-157.68533,MHI,Inactive
PHI,,OCC-PHI-001,BAA-02,4.3,13.65879,120.89501,CORALTRI,Inactive
PHI,,OCC-PHI-002,BAO-02,3.4,13.72788,120.8837,CORALTRI,Inactive
PHI,,OCC-PHI-003,BAO-01,13.4,13.72805,120.88358,CORALTRI,Inactive
PHI,,OCC-PHI-004,TWI-02,3.7,13.69069,120.88925,CORALTRI,Inactive
PHI,,OCC-PHI-005,BAA-01,13.1,13.65885,120.89513,CORALTRI,Inactive
PHI,,OCC-PHI-006,KOA-02,4.3,13.7166,120.87222,CORALTRI,Inactive
PHI,,OCC-PHI-007,KOA-01,10.7,13.7166,120.87194,CORALTRI,Inactive
PHI,,OCC-PHI-008,ART-02,3.4,13.70814,120.87464,CORALTRI,Inactive
PHI,,OCC-PHI-009,ART-01,11.6,13.70776,120.87432,CORALTRI,Inactive
PHI,,OCC-PHI-010,TWI-01,16.5,13.69054,120.88903,CORALTRI,Inactive
PHR,PHR-N,OCC-PHR-001,,23.8,27.94235,-175.86343,NWHI,Active
PHR,PHR-N,OCC-PHR-002,PHR-52,15.8,27.94055,-175.86167,NWHI,Active
PHR,PHR-N,OCC-PHR-003,,6.1,27.93763,-175.86348,NWHI,Active
PHR,,OCC-PHR-004,PHR-53,14.3,27.95493,-175.83582,NWHI,Inactive
PHR,,OCC-PHR-005,,0.9,27.95768,-175.78082,NWHI,Inactive
PHR,PHR-E,OCC-PHR-006,,24.7,27.86587,-175.73026,NWHI,Inactive
PHR,PHR-E,OCC-PHR-007,PHR-51,14.3,27.86679,-175.73358,NWHI,Inactive
PHR,PHR-E,OCC-PHR-008,,4.6,27.86892,-175.73491,NWHI,Inactive
PHR,,OCC-PHR-009,,1.5,27.80265,-175.7795,NWHI,Active
PHR,PHR-S,OCC-PHR-010,,37.5,27.78175,-175.88087,NWHI,Active
PHR,PHR-S,OCC-PHR-011,,23.5,27.78202,-175.88103,NWHI,Active
PHR,PHR-S,OCC-PHR-012,PHR-50,13.7,27.7824,-175.88199,NWHI,Active
PHR,PHR-S,OCC-PHR-013,,4.9,27.7835,-175.88307,NWHI,Active
PHR,,OCC-PHR-014,,0.9,27.77473,-175.9787,NWHI,Active
PHR,PHR-W,OCC-PHR-015,,24.7,27.79587,-176.0086,NWHI,Active
PHR,PHR-W,OCC-PHR-016,PHR-54,13.7,27.79309,-175.9971,NWHI,Active
PHR,PHR-W,OCC-PHR-017,,5.2,27.79229,-175.99157,NWHI,Active
PHR,,OCC-PHR-019,PHR-42,15.2,27.75313,-175.94894,NWHI,Inactive
PHR,,OCC-PHR-020,,1.2,27.89801,-175.83139,NWHI,Inactive
PHR,,OCC-PHR-021,,3,27.91184,-175.89431,NWHI,Inactive
PHR,PHR-N,OCC-PHR-022,,35.7,27.94432,-175.86498,NWHI,Inactive
PHR,,OCC-PHR-023,,11.6,27.79098,-175.86301,NWHI,Inactive
PHR,PHR-SE,OCC-PHR-024,PHR-36,13.7,27.78571,-175.78046,NWHI,Inactive
PHR,,OCC-PHR-025,,0.2,27.85393,-175.81588,NWHI,Inactive
PHR,,OCC-PHR-026,,7.9,27.85393,-175.81588,NWHI,Inactive
PHR,PHR-E,OCC-PHR-027,,22.3,27.8662,-175.73118,NWHI,Inactive
PHR,PHR-S,OCC-PHR-028,,19.5,27.78212,-175.88142,NWHI,Inactive
PHR,,OCC-PHR-029,,22.9,27.78486,-175.83974,NWHI,Inactive
PHR,,OCC-PHR-030,,22.3,27.75967,-175.92632,NWHI,Inactive
PHR,PHR-SE,OCC-PHR-031,,23.2,27.78194,-175.78349,NWHI,Inactive
PHR,,OCC-PHR-032,,21.6,27.8218,-175.74816,NWHI,Inactive
PHR,PHR-S,OCC-PHR-033,,26.5,27.78169,-175.88088,NWHI,Inactive
PHR,,OCC-PHR-034,,13.7,27.78169,-175.88088,NWHI,Inactive
PHR,,OCC-PHR-035,,1,27.85325,-175.81612,NWHI,Inactive
PHR,,OCC-PHR-036,PHR-33,12.8,27.78547,-175.82375,NWHI,Inactive
PHR,,OCC-PHR-037,PHR-39,10.7,27.94077,-175.86175,NWHI,Inactive
PHR,,OCC-PHR-038,PHR-44,12.8,27.91062,-175.90483,NWHI,Inactive
PHR,,OCC-PHR-039,,71.6,27.7544833,-175.8940833,NWHI,Inactive
ROS,ROS-NE,OCC-ROS-001,,24.7,-14.53866,-168.14578,AMSM,Active
ROS,ROS-NE,OCC-ROS-002,ROS-01,15.5,-14.53875,-168.14581,AMSM,Active
ROS,ROS-NE,OCC-ROS-003,,5.8,-14.53897,-168.1461,AMSM,Active
ROS,ROS-NE,OCC-ROS-004,,0.9,-14.53989,-168.14794,AMSM,Active
ROS,,OCC-ROS-006,ROS-19,14.9,-14.5491,-168.13783,AMSM,Active
ROS,,OCC-ROS-007,ROS-03,15.2,-14.55563,-168.1469,AMSM,Inactive
ROS,,OCC-ROS-008,ROS-04,12.8,-14.55962,-168.15997,AMSM,Active
ROS,ROS-SW,OCC-ROS-009,,25.6,-14.54873,-168.16875,AMSM,Active
ROS,ROS-SW,OCC-ROS-010,ROS-07,14.9,-14.54867,-168.16873,AMSM,Active
ROS,ROS-SW,OCC-ROS-011,,5.8,-14.54849,-168.16854,AMSM,Active
ROS,ROS-SW,OCC-ROS-012,,0.9,-14.54836,-168.1645,AMSM,Active
ROS,,OCC-ROS-013,ROS-23,14.9,-14.54222,-168.1727,AMSM,Active
ROS,,OCC-ROS-014,ROS-06,14.3,-14.53644,-168.16515,AMSM,Active
ROS,,OCC-ROS-015,,14.9,-14.53294,-168.1572,AMSM,Active
ROS,,OCC-ROS-016,,1.8,-14.53782,-168.15346,AMSM,Active
ROS,,OCC-ROS-017,,3,-14.55134,-168.16016,AMSM,Active
ROS,,OCC-ROS-018,,10.4,-14.55159,-168.16,AMSM,Inactive
ROS,ROS-SW,OCC-ROS-019,,31.7,-14.54871,-168.16883,AMSM,Inactive
ROS,,OCC-ROS-020,,16.8,-14.54761,-168.13762,AMSM,Inactive
ROS,,OCC-ROS-021,ROS-25,9.4,-14.5295,-168.15356,AMSM,Inactive
ROS,,OCC-ROS-022,,6.1,-14.5351,-168.15481,AMSM,Inactive
ROS,,OCC-ROS-023,,7.9,-14.55068,-168.16699,AMSM,Inactive
ROS,,OCC-ROS-024,ROS-08,10.2,-14.53775,-168.1537,AMSM,Inactive
ROS,,OCC-ROS-025,ROS-09,5.5,-14.551,-168.16085,AMSM,Inactive
ROT,ROT-N,OCC-ROT-001,ROT-05,14,14.18318,145.20713,CNMI,Active
ROT,,OCC-ROT-002,,17.4,14.17503,145.2863,CNMI,Active
ROT,ROT-SW,OCC-ROT-003,ROT-03,14.6,14.11394,145.16692,CNMI,Active
ROT,ROT-N,OCC-ROT-006,,10.4,14.18285,145.20681,CNMI,Inactive
ROT,ROT-SW,OCC-ROT-007,,13.7,14.1134,145.16667,CNMI,Inactive
ROT,,OCC-ROT-008,,0.3,14.12827,145.16363,CNMI,Inactive
ROT,,OCC-ROT-009,,10.8,14.12827,145.16363,CNMI,Inactive
ROT,,OCC-ROT-010,,16.2,14.12777,145.16337,CNMI,Inactive
ROT,,OCC-ROT-011,,0.3,14.12772,145.16335,CNMI,Inactive
ROT,,OCC-ROT-012,,0.3,14.11298,145.1667,CNMI,Inactive
ROT,,OCC-ROT-013,ROT-02,11.8,14.15378,145.25938,CNMI,Inactive
ROT,,OCC-ROT-014,ROT-06,13.2,14.15838,145.1504,CNMI,Inactive
SAI,SAI-N,OCC-SAI-001,,24.7,15.29089,145.80931,CNMI,Active
SAI,SAI-N,OCC-SAI-002,SAI-21,13.4,15.29062,145.80942,CNMI,Active
SAI,SAI-N,OCC-SAI-003,,6.4,15.29005,145.80949,CNMI,Active
SAI,SAI-E,OCC-SAI-004,,24.4,15.25791,145.81665,CNMI,Active
SAI,SAI-E,OCC-SAI-005,SAI-20,16.5,15.25867,145.81567,CNMI,Active
SAI,,OCC-SAI-006,,19.5,15.17487,145.78949,CNMI,Active
SAI,,OCC-SAI-007,SAI-03,14.6,15.15611,145.76971,CNMI,Active
SAI,SAI-S,OCC-SAI-008,,24.7,15.09779,145.74279,CNMI,Active
SAI,SAI-S,OCC-SAI-009,SAI-05,17.4,15.09788,145.74338,CNMI,Active
SAI,SAI-S,OCC-SAI-010,,5.8,15.09835,145.74437,CNMI,Active
SAI,SAI-W,OCC-SAI-011,,28.3,15.15765,145.68593,CNMI,Active
SAI,SAI-W,OCC-SAI-012,SAI-23,12.5,15.15638,145.68977,CNMI,Active
SAI,SAI-W,OCC-SAI-013,,6.1,15.15466,145.69243,CNMI,Active
SAI,,OCC-SAI-014,,5.5,15.23752,145.72252,CNMI,Active
SAI,SAI-NW,OCC-SAI-015,,25.9,15.25729,145.76653,CNMI,Active
SAI,SAI-NW,OCC-SAI-016,SAI-22,14,15.25657,145.76756,CNMI,Active
SAI,SAI-NW,OCC-SAI-017,,5.2,15.25618,145.76793,CNMI,Active
SAI,SAI-NW,OCC-SAI-017,,5.5,15.25614,145.76762,CNMI,Active
SAI,,OCC-SAI-018,,0.3,15.17189,145.69474,CNMI,Inactive
SAI,,OCC-SAI-019,,18,15.17184,145.6947,CNMI,Inactive
SAI,,OCC-SAI-020,,16.8,15.1702,145.69478,CNMI,Inactive
SAI,,OCC-SAI-021,,0.2,15.1702,145.69478,CNMI,Inactive
SAI,,OCC-SAI-022,,1,15.23746,145.72288,CNMI,Inactive
SAI,SAI-E,OCC-SAI-023,SAI-01,8.1,15.25888,145.81442,CNMI,Inactive
SAI,,OCC-SAI-024,SAI-06,11.7,15.1566,145.69017,CNMI,Inactive
SAI,,OCC-SAI-025,SAI-08,11.7,15.27353,145.79122,CNMI,Inactive
SAI,,OCC-SAI-026,,11.6,15.15906,145.75438,CNMI,Inactive
SAR,,OCC-SAR-001,,11.3,16.69862,145.78809,CNMI,Active
SAR,SAR-NE,OCC-SAR-002,,6.1,16.7106,145.76786,CNMI,Active
SAR,SAR-NE,OCC-SAR-003,,1,16.71057,145.76892,CNMI,Inactive
SOB,,OCC-SOB-001,,32,-14.89433,-170.63274,AMSM,Inactive
SRR,,OCC-SRR-001,,20.4,12.83819,144.41778,CNMI,Inactive
SUP,,OCC-SUP-001,,28,20.13995,145.09878,CNMI,Active
SWA,SWA-N,OCC-SWA-001,SWA-08,12.2,-11.04588,-171.07655,AMSM,Active
SWA,SWA-E,OCC-SWA-002,,25.9,-11.05252,-171.06466,AMSM,Active
SWA,SWA-E,OCC-SWA-003,SWA-40,15.2,-11.05253,-171.06474,AMSM,Active
SWA,SWA-E,OCC-SWA-004,,4.9,-11.05263,-171.06495,AMSM,Active
SWA,,OCC-SWA-005,SWA-01,13.1,-11.06818,-171.08118,AMSM,Active
SWA,SWA-W,OCC-SWA-006,,24.7,-11.05868,-171.09114,AMSM,Active
SWA,SWA-W,OCC-SWA-007,SWA-41,14.3,-11.05861,-171.09099,AMSM,Active
SWA,SWA-W,OCC-SWA-008,,5.8,-11.05863,-171.09072,AMSM,Active
SWA,SWA-W,OCC-SWA-009,,0.9,-11.05719,-171.09039,AMSM,Active
